dataset,modality,context,dimension,subdimension,label,enabled,applicable,na_reason,record_criterion,dataset_aggregation,detector,dose_validated,risk_level,threshold,units,n_records,n_flagged,score,raw_value,exceeds_threshold,details
diabetes_130,tabular,health,content_safety,harm_content_density,Harmful content density,True,False,modality 'tabular' not in ['text']; required input 'text_column' not set on the dataset spec,record toxicity probability >= 0.50,fraction of records at or above the record threshold,Detoxify (toxicity head),True,high,0.01,fraction,,,,,,
diabetes_130,tabular,health,content_safety,identity_attack_density,Identity-attack density,True,False,modality 'tabular' not in ['text']; required input 'text_column' not set on the dataset spec,record identity-attack probability >= 0.50,fraction of records at or above the record threshold,Detoxify (identity_attack head),True,high,0.005,fraction,,,,,,
diabetes_130,tabular,health,content_safety,severe_toxicity_density,Severe-toxicity density,True,False,modality 'tabular' not in ['text']; required input 'text_column' not set on the dataset spec,record severe-toxicity probability >= 0.50,fraction of records at or above the record threshold,Detoxify (severe_toxicity head),True,high,0.001,fraction,,,,,,
diabetes_130,tabular,health,content_safety,label_integrity,Label integrity,True,True,,out-of-fold model assigns the observed label p < 0.50,mean out-of-fold disagreement,out-of-fold logistic regression (confident-learning style),True,high,0.05,fraction,101766.0,11371.0,0.19136244973496092,0.11173672935951104,True,"{""detector"": ""out-of-fold logistic regression, 5-fold"", ""record_criterion"": ""p_oof(observed label) < 0.5"", ""aggregation"": ""mean out-of-fold disagreement"", ""confident_disagreement_rate"": 0.11173672935951104, ""n_features"": 207, ""n_records"": 101766}"
diabetes_130,tabular,health,content_safety,free_text_field_harm,Harmful content in free-text fields,True,False,required input 'text_column' not set on the dataset spec,free-text field toxicity probability >= 0.50,fraction of records at or above the record threshold,Detoxify (toxicity head) on a tabular free-text column,False,high,0.01,fraction,,,,,,
diabetes_130,tabular,health,content_safety,representation_imbalance,Sub-group under-representation,True,True,,record belongs to a sub-group below the minimum support,total variation distance from expected sub-group shares,empirical sub-group distribution vs reference,True,high,0.1,fraction,101766.0,644.0,0.6508362321404007,0.6508362321404007,True,"{""detector"": ""empirical sub-group distribution"", ""grouping_columns"": [""race"", ""gender""], ""expectation"": ""uniform over observed sub-groups"", ""record_criterion"": ""sub-group has fewer than 500 records"", ""aggregation"": ""total variation distance from expected sub-group shares"", ""n_subgroups"": 14, ""n_records"": 101766}"
diabetes_130,tabular,health,physical_safety,physical_harm_enablement,Physical-harm enablement density,True,False,modality 'tabular' not in ['text']; required input 'text_column' not set on the dataset spec,record contains a context hazard term AND an actionability signal,fraction of records that are hazard AND actionable,rule-based hazard lexicon x actionability,True,high,0.005,fraction,,,,,,
diabetes_130,tabular,health,physical_safety,threat_density,Threat density,True,False,modality 'tabular' not in ['text']; required input 'text_column' not set on the dataset spec,record threat probability >= 0.50,fraction of records at or above the record threshold,Detoxify (threat head),True,high,0.005,fraction,,,,,,
diabetes_130,tabular,health,physical_safety,measurement_range_violation,Implausible safety-relevant measurements,True,True,,any declared measurement field outside its plausible physical range,fraction of records with at least one violation,declared physical plausibility ranges,True,high,0.01,fraction,101766.0,0.0,0.0,0.0,False,"{""detector"": ""declared physical plausibility ranges"", ""checked_columns"": [""time_in_hospital"", ""num_lab_procedures"", ""num_procedures"", ""num_medications"", ""number_outpatient"", ""number_emergency"", ""number_inpatient"", ""number_diagnoses""], ""ranges"": {""time_in_hospital"": [1, 14], ""num_lab_procedures"": [0, 132], ""num_procedures"": [0, 6], ""num_medications"": [1, 81], ""number_outpatient"": [0, 42], ""number_emergency"": [0, 76], ""number_inpatient"": [0, 21], ""number_diagnoses"": [1, 16]}, ""record_criterion"": ""any checked field outside its plausible range (or missing)"", ""aggregation"": ""fraction of records with at least one violation"", ""n_records"": 101766}"
diabetes_130,tabular,health,physical_safety,safety_critical_edge_case_coverage,Safety-critical edge-case coverage,True,True,,record sits in a declared safety-critical stratum that is under-covered,mean relative shortfall across declared strata,stratum support vs declared minimum,True,high,0.1,fraction,101766.0,87.0,0.1652,"{""elderly_long_stay"": {""n"": 1778, ""shortfall"": 0.0, ""query"": ""age_years >= 80 and time_in_hospital >= 10""}, ""emergency_readmitters"": {""n"": 1664, ""shortfall"": 0.0, ""query"": ""number_emergency >= 3""}, ""high_medication_burden"": {""n"": 1540, ""shortfall"": 0.0, ""query"": ""num_medications >= 40""}, ""many_diagnoses"": {""n"": 87, ""shortfall"": 0.8260000000000001, ""query"": ""number_diagnoses >= 12""}, ""frequent_inpatient"": {""n"": 2016, ""shortfall"": 0.0, ""query"": ""number_inpatient >= 5""}}",True,"{""detector"": ""declared safety-critical strata vs minimum support"", ""min_stratum_n"": 500, ""record_criterion"": ""record sits in an under-covered safety-critical stratum"", ""aggregation"": ""mean relative shortfall across declared strata"", ""strata"": {""elderly_long_stay"": {""n"": 1778, ""shortfall"": 0.0, ""query"": ""age_years >= 80 and time_in_hospital >= 10""}, ""emergency_readmitters"": {""n"": 1664, ""shortfall"": 0.0, ""query"": ""number_emergency >= 3""}, ""high_medication_burden"": {""n"": 1540, ""shortfall"": 0.0, ""query"": ""num_medications >= 40""}, ""many_diagnoses"": {""n"": 87, ""shortfall"": 0.8260000000000001, ""query"": ""number_diagnoses >= 12""}, ""frequent_inpatient"": {""n"": 2016, ""shortfall"": 0.0, ""query"": ""number_inpatient >= 5""}}, ""n_records"": 101766}"
diabetes_130,tabular,health,physical_safety,outcome_severity_exposure,Physical-harm outcome exposure,True,True,,record outcome is the physical-harm event,base rate of the physical-harm outcome,outcome column base rate,False,high,0.1,fraction,101766.0,11357.0,0.11159915885462728,11357.0,True,"{""detector"": ""outcome column base rate"", ""positive_label"": 1, ""record_criterion"": ""readmit_early == 1"", ""aggregation"": ""base rate of the physical-harm outcome"", ""n_records"": 101766}"
