dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
diabetes_130,tabular,health,high,label_flip,label_integrity,True,0.0,0.0,0,content_safety,label_integrity,0.19153165162317165,76324,8539,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.0,0.0,0,content_safety,representation_imbalance,0.6510290715521049,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.0,0.0,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.0,0.0,0,physical_safety,safety_critical_edge_case_coverage,0.1716,76324,71,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.0,0.0,0,physical_safety,outcome_severity_exposure,0.11160316545254442,76324,8518,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,True,0.03,0.03000366857082962,0,content_safety,label_integrity,0.22757035604497056,76324,10309,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.03,0.03000366857082962,0,content_safety,representation_imbalance,0.6510290715521049,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.03,0.03000366857082962,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.03,0.03000366857082962,0,physical_safety,safety_critical_edge_case_coverage,0.1716,76324,71,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.03,0.03000366857082962,0,physical_safety,outcome_severity_exposure,0.13481997798857503,76324,10290,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,True,0.05,0.04999737959226456,0,content_safety,label_integrity,0.2498806771702906,76324,11473,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.05,0.04999737959226456,0,content_safety,representation_imbalance,0.6510290715521049,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.05,0.04999737959226456,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.05,0.04999737959226456,0,physical_safety,safety_critical_edge_case_coverage,0.1716,76324,71,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.05,0.04999737959226456,0,physical_safety,outcome_severity_exposure,0.15020177139562915,76324,11464,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,True,0.1,0.09999475918452912,0,content_safety,label_integrity,0.30215525205497606,76324,14430,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.1,0.09999475918452912,0,content_safety,representation_imbalance,0.6510290715521049,76324,486,0.1,True,empirical sub-group distribution vs reference,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.1,0.09999475918452912,0,physical_safety,measurement_range_violation,0.0,76324,0,0.01,False,declared physical plausibility ranges,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.1,0.09999475918452912,0,physical_safety,safety_critical_edge_case_coverage,0.1716,76324,71,0.1,True,stratum support vs declared minimum,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,False,0.1,0.09999475918452912,0,physical_safety,outcome_severity_exposure,0.18882658141606834,76324,14412,0.1,True,outcome column base rate,fraction
diabetes_130,tabular,health,high,label_flip,label_integrity,True,0.2,0.20000262040773545,0,content_safety,label_integrity,0.3897684751128302,76324,20440,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
