subdimension,dimension,label,modalities,contexts,requires,record_criterion,dataset_aggregation,detector,dose_validated
harm_content_density,content_safety,Harmful content density,text,all,text_column,record toxicity probability >= 0.50,fraction of records at or above the record threshold,Detoxify (toxicity head),True
identity_attack_density,content_safety,Identity-attack density,text,all,text_column,record identity-attack probability >= 0.50,fraction of records at or above the record threshold,Detoxify (identity_attack head),True
severe_toxicity_density,content_safety,Severe-toxicity density,text,all,text_column,record severe-toxicity probability >= 0.50,fraction of records at or above the record threshold,Detoxify (severe_toxicity head),True
label_integrity,content_safety,Label integrity,tabular,all,label_column,out-of-fold model assigns the observed label p < 0.50,mean out-of-fold disagreement,out-of-fold logistic regression (confident-learning style),True
free_text_field_harm,content_safety,Harmful content in free-text fields,tabular,all,text_column,free-text field toxicity probability >= 0.50,fraction of records at or above the record threshold,Detoxify (toxicity head) on a tabular free-text column,False
representation_imbalance,content_safety,Sub-group under-representation,tabular,all,sensitive_columns,record belongs to a sub-group below the minimum support,total variation distance from expected sub-group shares,empirical sub-group distribution vs reference,True
physical_harm_enablement,physical_safety,Physical-harm enablement density,text,all,text_column,record contains a context hazard term AND an actionability signal,fraction of records that are hazard AND actionable,rule-based hazard lexicon x actionability,True
threat_density,physical_safety,Threat density,text,all,text_column,record threat probability >= 0.50,fraction of records at or above the record threshold,Detoxify (threat head),True
measurement_range_violation,physical_safety,Implausible safety-relevant measurements,tabular,biology|chemistry|health|transportation,value_ranges,any declared measurement field outside its plausible physical range,fraction of records with at least one violation,declared physical plausibility ranges,True
safety_critical_edge_case_coverage,physical_safety,Safety-critical edge-case coverage,tabular,health|loan_finance|transportation,edge_case_strata,record sits in a declared safety-critical stratum that is under-covered,mean relative shortfall across declared strata,stratum support vs declared minimum,True
outcome_severity_exposure,physical_safety,Physical-harm outcome exposure,tabular,health|transportation,label_column,record outcome is the physical-harm event,base rate of the physical-harm outcome,outcome column base rate,False
