dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,True,0.0,0.0,0,content_safety,label_integrity,0.32004808428512727,750,190,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,False,0.0,0.0,0,content_safety,representation_imbalance,0.2833333333333333,750,65,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,False,0.0,0.0,0,physical_safety,safety_critical_edge_case_coverage,0.1375,750,18,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,True,0.03,0.029333333333333333,0,content_safety,label_integrity,0.34847179601617945,750,209,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,False,0.03,0.029333333333333333,0,content_safety,representation_imbalance,0.2833333333333333,750,65,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,False,0.03,0.029333333333333333,0,physical_safety,safety_critical_edge_case_coverage,0.1375,750,18,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,True,0.05,0.050666666666666665,0,content_safety,label_integrity,0.3616734556806576,750,220,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,False,0.05,0.050666666666666665,0,content_safety,representation_imbalance,0.2833333333333333,750,65,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,False,0.05,0.050666666666666665,0,physical_safety,safety_critical_edge_case_coverage,0.1375,750,18,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,True,0.1,0.1,0,content_safety,label_integrity,0.37362540663389215,750,236,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,False,0.1,0.1,0,content_safety,representation_imbalance,0.2833333333333333,750,65,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,False,0.1,0.1,0,physical_safety,safety_critical_edge_case_coverage,0.1375,750,18,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,True,0.2,0.2,0,content_safety,label_integrity,0.4385835931289101,750,277,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,False,0.2,0.2,0,content_safety,representation_imbalance,0.2833333333333333,750,65,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,label_flip,label_integrity,False,0.2,0.2,0,physical_safety,safety_critical_edge_case_coverage,0.1375,750,18,0.25,False,stratum support vs declared minimum,fraction
