dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
framingham,tabular,health,high,label_flip,label_integrity,True,0.0,0.0,0,content_safety,label_integrity,0.22946566642162886,3180,474,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.0,0.0,0,content_safety,representation_imbalance,0.21713008937437933,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.0,0.0,0,physical_safety,measurement_range_violation,0.09811320754716982,3180,312,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.0,0.0,0,physical_safety,safety_critical_edge_case_coverage,0.25666666666666665,3180,86,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.0,0.0,0,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,label_flip,label_integrity,True,0.03,0.029874213836477988,0,content_safety,label_integrity,0.2586877722279293,3180,533,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.03,0.029874213836477988,0,content_safety,representation_imbalance,0.21713008937437933,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.03,0.029874213836477988,0,physical_safety,measurement_range_violation,0.09811320754716982,3180,312,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.03,0.029874213836477988,0,physical_safety,safety_critical_edge_case_coverage,0.25666666666666665,3180,86,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.03,0.029874213836477988,0,physical_safety,outcome_severity_exposure,0.17232704402515722,3180,548,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,label_flip,label_integrity,True,0.05,0.05,0,content_safety,label_integrity,0.2816525676109045,3180,579,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.05,0.05,0,content_safety,representation_imbalance,0.21713008937437933,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.05,0.05,0,physical_safety,measurement_range_violation,0.09811320754716982,3180,312,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.05,0.05,0,physical_safety,safety_critical_edge_case_coverage,0.25666666666666665,3180,86,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.05,0.05,0,physical_safety,outcome_severity_exposure,0.1861635220125786,3180,592,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,label_flip,label_integrity,True,0.1,0.1,0,content_safety,label_integrity,0.3266330819964988,3180,697,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.1,0.1,0,content_safety,representation_imbalance,0.21713008937437933,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.1,0.1,0,physical_safety,measurement_range_violation,0.09811320754716982,3180,312,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.1,0.1,0,physical_safety,safety_critical_edge_case_coverage,0.25666666666666665,3180,86,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.1,0.1,0,physical_safety,outcome_severity_exposure,0.2210691823899371,3180,703,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,label_flip,label_integrity,True,0.2,0.2,0,content_safety,label_integrity,0.4048587661725731,3180,923,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.2,0.2,0,content_safety,representation_imbalance,0.21713008937437933,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.2,0.2,0,physical_safety,measurement_range_violation,0.09811320754716982,3180,312,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.2,0.2,0,physical_safety,safety_critical_edge_case_coverage,0.25666666666666665,3180,86,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.2,0.2,0,physical_safety,outcome_severity_exposure,0.29339622641509433,3180,933,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,label_flip,label_integrity,True,0.3,0.3,0,content_safety,label_integrity,0.45590765763514696,3180,1153,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.3,0.3,0,content_safety,representation_imbalance,0.21713008937437933,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.3,0.3,0,physical_safety,measurement_range_violation,0.09811320754716982,3180,312,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.3,0.3,0,physical_safety,safety_critical_edge_case_coverage,0.25666666666666665,3180,86,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.3,0.3,0,physical_safety,outcome_severity_exposure,0.36069182389937104,3180,1147,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,label_flip,label_integrity,True,0.4,0.4,0,content_safety,label_integrity,0.4887621566993091,3180,1385,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.4,0.4,0,content_safety,representation_imbalance,0.21713008937437933,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.4,0.4,0,physical_safety,measurement_range_violation,0.09811320754716982,3180,312,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.4,0.4,0,physical_safety,safety_critical_edge_case_coverage,0.25666666666666665,3180,86,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.4,0.4,0,physical_safety,outcome_severity_exposure,0.4286163522012579,3180,1363,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,label_flip,label_integrity,True,0.0,0.0,1,content_safety,label_integrity,0.2311757790484996,3180,461,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.0,0.0,1,content_safety,representation_imbalance,0.22032439589539884,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.0,0.0,1,physical_safety,measurement_range_violation,0.10062893081761007,3180,320,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.0,0.0,1,physical_safety,safety_critical_edge_case_coverage,0.25,3180,90,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.0,0.0,1,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,label_flip,label_integrity,True,0.03,0.029874213836477988,1,content_safety,label_integrity,0.2714564482644806,3180,556,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.03,0.029874213836477988,1,content_safety,representation_imbalance,0.22032439589539884,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.03,0.029874213836477988,1,physical_safety,measurement_range_violation,0.10062893081761007,3180,320,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.03,0.029874213836477988,1,physical_safety,safety_critical_edge_case_coverage,0.25,3180,90,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.03,0.029874213836477988,1,physical_safety,outcome_severity_exposure,0.1779874213836478,3180,566,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,label_flip,label_integrity,True,0.05,0.05,1,content_safety,label_integrity,0.28400921814440777,3180,579,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.05,0.05,1,content_safety,representation_imbalance,0.22032439589539884,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.05,0.05,1,physical_safety,measurement_range_violation,0.10062893081761007,3180,320,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.05,0.05,1,physical_safety,safety_critical_edge_case_coverage,0.25,3180,90,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.05,0.05,1,physical_safety,outcome_severity_exposure,0.18805031446540882,3180,598,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,label_flip,label_integrity,True,0.1,0.1,1,content_safety,label_integrity,0.326105382966919,3180,694,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.1,0.1,1,content_safety,representation_imbalance,0.22032439589539884,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.1,0.1,1,physical_safety,measurement_range_violation,0.10062893081761007,3180,320,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.1,0.1,1,physical_safety,safety_critical_edge_case_coverage,0.25,3180,90,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.1,0.1,1,physical_safety,outcome_severity_exposure,0.21918238993710693,3180,697,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,label_flip,label_integrity,True,0.2,0.2,1,content_safety,label_integrity,0.3922341069054464,3180,875,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.2,0.2,1,content_safety,representation_imbalance,0.22032439589539884,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.2,0.2,1,physical_safety,measurement_range_violation,0.10062893081761007,3180,320,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.2,0.2,1,physical_safety,safety_critical_edge_case_coverage,0.25,3180,90,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.2,0.2,1,physical_safety,outcome_severity_exposure,0.2770440251572327,3180,881,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,label_flip,label_integrity,True,0.3,0.3,1,content_safety,label_integrity,0.45541912017037584,3180,1134,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.3,0.3,1,content_safety,representation_imbalance,0.22032439589539884,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.3,0.3,1,physical_safety,measurement_range_violation,0.10062893081761007,3180,320,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.3,0.3,1,physical_safety,safety_critical_edge_case_coverage,0.25,3180,90,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.3,0.3,1,physical_safety,outcome_severity_exposure,0.35566037735849054,3180,1131,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,label_flip,label_integrity,True,0.4,0.4,1,content_safety,label_integrity,0.4899622679605497,3180,1362,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.4,0.4,1,content_safety,representation_imbalance,0.22032439589539884,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,label_flip,label_integrity,False,0.4,0.4,1,physical_safety,measurement_range_violation,0.10062893081761007,3180,320,0.01,True,declared physical plausibility ranges,fraction
