dataset,modality,context,dimension,subdimension,label,enabled,applicable,na_reason,record_criterion,dataset_aggregation,detector,dose_validated,risk_level,threshold,units,n_records,n_flagged,score,raw_value,exceeds_threshold,details
framingham,tabular,health,content_safety,harm_content_density,Harmful content density,True,False,modality 'tabular' not in ['text']; required input 'text_column' not set on the dataset spec,record toxicity probability >= 0.50,fraction of records at or above the record threshold,Detoxify (toxicity head),True,high,0.01,fraction,,,,,,
framingham,tabular,health,content_safety,identity_attack_density,Identity-attack density,True,False,modality 'tabular' not in ['text']; required input 'text_column' not set on the dataset spec,record identity-attack probability >= 0.50,fraction of records at or above the record threshold,Detoxify (identity_attack head),True,high,0.005,fraction,,,,,,
framingham,tabular,health,content_safety,severe_toxicity_density,Severe-toxicity density,True,False,modality 'tabular' not in ['text']; required input 'text_column' not set on the dataset spec,record severe-toxicity probability >= 0.50,fraction of records at or above the record threshold,Detoxify (severe_toxicity head),True,high,0.001,fraction,,,,,,
framingham,tabular,health,content_safety,label_integrity,Label integrity,True,True,,out-of-fold model assigns the observed label p < 0.50,mean out-of-fold disagreement,out-of-fold logistic regression (confident-learning style),True,high,0.05,fraction,4240.0,617.0,0.23208454037300733,0.1455188679245283,True,"{""detector"": ""out-of-fold logistic regression, 5-fold"", ""record_criterion"": ""p_oof(observed label) < 0.5"", ""aggregation"": ""mean out-of-fold disagreement"", ""confident_disagreement_rate"": 0.1455188679245283, ""n_features"": 15, ""n_records"": 4240}"
framingham,tabular,health,content_safety,free_text_field_harm,Harmful content in free-text fields,True,False,required input 'text_column' not set on the dataset spec,free-text field toxicity probability >= 0.50,fraction of records at or above the record threshold,Detoxify (toxicity head) on a tabular free-text column,False,high,0.01,fraction,,,,,,
framingham,tabular,health,content_safety,representation_imbalance,Sub-group under-representation,True,True,,record belongs to a sub-group below the minimum support,total variation distance from expected sub-group shares,empirical sub-group distribution vs reference,True,high,0.1,fraction,4240.0,4240.0,0.2166583912611718,0.2166583912611718,True,"{""detector"": ""empirical sub-group distribution"", ""grouping_columns"": [""male"", ""age""], ""expectation"": ""uniform over observed sub-groups"", ""record_criterion"": ""sub-group has fewer than 120 records"", ""aggregation"": ""total variation distance from expected sub-group shares"", ""n_subgroups"": 76, ""n_records"": 4240}"
framingham,tabular,health,physical_safety,physical_harm_enablement,Physical-harm enablement density,True,False,modality 'tabular' not in ['text']; required input 'text_column' not set on the dataset spec,record contains a context hazard term AND an actionability signal,fraction of records that are hazard AND actionable,rule-based hazard lexicon x actionability,True,high,0.005,fraction,,,,,,
framingham,tabular,health,physical_safety,threat_density,Threat density,True,False,modality 'tabular' not in ['text']; required input 'text_column' not set on the dataset spec,record threat probability >= 0.50,fraction of records at or above the record threshold,Detoxify (threat head),True,high,0.005,fraction,,,,,,
framingham,tabular,health,physical_safety,measurement_range_violation,Implausible safety-relevant measurements,True,True,,any declared measurement field outside its plausible physical range,fraction of records with at least one violation,declared physical plausibility ranges,True,high,0.01,fraction,4240.0,438.0,0.10330188679245284,0.014357311320754717,True,"{""detector"": ""declared physical plausibility ranges"", ""checked_columns"": [""age"", ""totChol"", ""sysBP"", ""diaBP"", ""BMI"", ""heartRate"", ""glucose"", ""cigsPerDay""], ""ranges"": {""age"": [30, 100], ""totChol"": [80, 700], ""sysBP"": [70, 300], ""diaBP"": [40, 200], ""BMI"": [12, 70], ""heartRate"": [30, 220], ""glucose"": [30, 500], ""cigsPerDay"": [0, 100]}, ""record_criterion"": ""any checked field outside its plausible range (or missing)"", ""aggregation"": ""fraction of records with at least one violation"", ""n_records"": 4240}"
framingham,tabular,health,physical_safety,safety_critical_edge_case_coverage,Safety-critical edge-case coverage,True,True,,record sits in a declared safety-critical stratum that is under-covered,mean relative shortfall across declared strata,stratum support vs declared minimum,True,high,0.1,fraction,4240.0,125.0,0.19166666666666668,"{""hypertensive_crisis"": {""n"": 170, ""shortfall"": 0.0, ""query"": ""sysBP >= 180""}, ""severe_hyperglycemia"": {""n"": 34, ""shortfall"": 0.7166666666666667, ""query"": ""glucose >= 200""}, ""very_high_cholesterol"": {""n"": 345, ""shortfall"": 0.0, ""query"": ""totChol >= 300""}, ""young_high_risk"": {""n"": 91, ""shortfall"": 0.2416666666666667, ""query"": ""age <= 40 and prevalentHyp == 1""}, ""heavy_smokers"": {""n"": 398, ""shortfall"": 0.0, ""query"": ""cigsPerDay >= 30""}}",True,"{""detector"": ""declared safety-critical strata vs minimum support"", ""min_stratum_n"": 120, ""record_criterion"": ""record sits in an under-covered safety-critical stratum"", ""aggregation"": ""mean relative shortfall across declared strata"", ""strata"": {""hypertensive_crisis"": {""n"": 170, ""shortfall"": 0.0, ""query"": ""sysBP >= 180""}, ""severe_hyperglycemia"": {""n"": 34, ""shortfall"": 0.7166666666666667, ""query"": ""glucose >= 200""}, ""very_high_cholesterol"": {""n"": 345, ""shortfall"": 0.0, ""query"": ""totChol >= 300""}, ""young_high_risk"": {""n"": 91, ""shortfall"": 0.2416666666666667, ""query"": ""age <= 40 and prevalentHyp == 1""}, ""heavy_smokers"": {""n"": 398, ""shortfall"": 0.0, ""query"": ""cigsPerDay >= 30""}}, ""n_records"": 4240}"
framingham,tabular,health,physical_safety,outcome_severity_exposure,Physical-harm outcome exposure,True,True,,record outcome is the physical-harm event,base rate of the physical-harm outcome,outcome column base rate,False,high,0.1,fraction,4240.0,644.0,0.15188679245283018,644.0,True,"{""detector"": ""outcome column base rate"", ""positive_label"": 1, ""record_criterion"": ""TenYearCHD == 1"", ""aggregation"": ""base rate of the physical-harm outcome"", ""n_records"": 4240}"
