dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,False,0.0,0.0,0,content_safety,label_integrity,0.32004808428512727,750,190,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,True,0.0,0.0,0,content_safety,representation_imbalance,0.2833333333333333,750,65,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,False,0.0,0.0,0,physical_safety,safety_critical_edge_case_coverage,0.1375,750,18,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,False,0.03,0.03409090909090909,0,content_safety,label_integrity,0.31489628264131986,750,193,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,True,0.03,0.03409090909090909,0,content_safety,representation_imbalance,0.28733333333333333,750,65,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,False,0.03,0.03409090909090909,0,physical_safety,safety_critical_edge_case_coverage,0.13125,750,19,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,False,0.05,0.045454545454545456,0,content_safety,label_integrity,0.31557075808361756,750,189,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,True,0.05,0.045454545454545456,0,content_safety,representation_imbalance,0.2886666666666667,750,65,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,False,0.05,0.045454545454545456,0,physical_safety,safety_critical_edge_case_coverage,0.1375,750,18,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,False,0.1,0.10227272727272728,0,content_safety,label_integrity,0.3173735146696084,750,190,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,True,0.1,0.10227272727272728,0,content_safety,representation_imbalance,0.29533333333333334,750,65,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,False,0.1,0.10227272727272728,0,physical_safety,safety_critical_edge_case_coverage,0.1375,750,18,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,False,0.2,0.20454545454545456,0,content_safety,label_integrity,0.3153812640201539,750,193,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,True,0.2,0.20454545454545456,0,content_safety,representation_imbalance,0.30733333333333335,750,65,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,False,0.2,0.20454545454545456,0,physical_safety,safety_critical_edge_case_coverage,0.1375,750,18,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,False,0.3,0.29545454545454547,0,content_safety,label_integrity,0.3222146263790536,750,194,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,True,0.3,0.29545454545454547,0,content_safety,representation_imbalance,0.318,750,65,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,False,0.3,0.29545454545454547,0,physical_safety,safety_critical_edge_case_coverage,0.1375,750,18,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,False,0.4,0.3977272727272727,0,content_safety,label_integrity,0.309082430730517,750,187,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,True,0.4,0.3977272727272727,0,content_safety,representation_imbalance,0.32999999999999996,750,65,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,subgroup_dropout,representation_imbalance,False,0.4,0.3977272727272727,0,physical_safety,safety_critical_edge_case_coverage,0.13125,750,19,0.25,False,stratum support vs declared minimum,fraction
