dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
civilcomments,text,general,medium,toxic_injection,harm_content_density,True,0.0,0.0,0,content_safety,harm_content_density,0.0085,10000,85,0.05,False,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.0,0.0,0,content_safety,identity_attack_density,0.0,10000,0,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.0,0.0,0,content_safety,severe_toxicity_density,0.0,10000,0,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.0,0.0,0,physical_safety,physical_harm_enablement,0.0007,10000,7,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.0,0.0,0,physical_safety,threat_density,0.0001,10000,1,0.02,False,Detoxify (threat head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,True,0.03,0.03,0,content_safety,harm_content_density,0.0318,10000,318,0.05,False,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.03,0.03,0,content_safety,identity_attack_density,0.0016,10000,16,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.03,0.03,0,content_safety,severe_toxicity_density,0.0,10000,0,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.03,0.03,0,physical_safety,physical_harm_enablement,0.0007,10000,7,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.03,0.03,0,physical_safety,threat_density,0.0002,10000,2,0.02,False,Detoxify (threat head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,True,0.05,0.05,0,content_safety,harm_content_density,0.0477,10000,477,0.05,False,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.05,0.05,0,content_safety,identity_attack_density,0.0023,10000,23,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.05,0.05,0,content_safety,severe_toxicity_density,0.0,10000,0,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.05,0.05,0,physical_safety,physical_harm_enablement,0.0007,10000,7,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.05,0.05,0,physical_safety,threat_density,0.0004,10000,4,0.02,False,Detoxify (threat head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,True,0.1,0.1,0,content_safety,harm_content_density,0.0859,10000,859,0.05,True,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.1,0.1,0,content_safety,identity_attack_density,0.0046,10000,46,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.1,0.1,0,content_safety,severe_toxicity_density,0.0,10000,0,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.1,0.1,0,physical_safety,physical_harm_enablement,0.0007,10000,7,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.1,0.1,0,physical_safety,threat_density,0.0004,10000,4,0.02,False,Detoxify (threat head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,True,0.2,0.2,0,content_safety,harm_content_density,0.1629,10000,1629,0.05,True,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.2,0.2,0,content_safety,identity_attack_density,0.0093,10000,93,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.2,0.2,0,content_safety,severe_toxicity_density,0.0,10000,0,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.2,0.2,0,physical_safety,physical_harm_enablement,0.0008,10000,8,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.2,0.2,0,physical_safety,threat_density,0.0008,10000,8,0.02,False,Detoxify (threat head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,True,0.3,0.3,0,content_safety,harm_content_density,0.2374,10000,2374,0.05,True,Detoxify (toxicity head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.3,0.3,0,content_safety,identity_attack_density,0.014,10000,140,0.02,False,Detoxify (identity_attack head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.3,0.3,0,content_safety,severe_toxicity_density,0.0,10000,0,0.005,False,Detoxify (severe_toxicity head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.3,0.3,0,physical_safety,physical_harm_enablement,0.0007,10000,7,0.02,False,rule-based hazard lexicon x actionability,fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,False,0.3,0.3,0,physical_safety,threat_density,0.0012,10000,12,0.02,False,Detoxify (threat head),fraction
civilcomments,text,general,medium,toxic_injection,harm_content_density,True,0.4,0.4,0,content_safety,harm_content_density,0.3133,10000,3133,0.05,True,Detoxify (toxicity head),fraction
