dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,0,content_safety,label_integrity,0.22946566642162886,3180,474,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,0,content_safety,representation_imbalance,0.21713008937437933,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,True,0.0,0.0,0,physical_safety,measurement_range_violation,0.09811320754716982,3180,312,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,0,physical_safety,safety_critical_edge_case_coverage,0.25666666666666665,3180,86,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,0,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.029874213836477988,0,content_safety,label_integrity,0.23329938502989073,3180,492,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.029874213836477988,0,content_safety,representation_imbalance,0.2753607103218646,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,True,0.03,0.029874213836477988,0,physical_safety,measurement_range_violation,0.12358490566037736,3180,393,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.029874213836477988,0,physical_safety,safety_critical_edge_case_coverage,0.24,3180,95,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.029874213836477988,0,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.05,0.05,0,content_safety,label_integrity,0.23342551838444042,3180,488,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.05,0.05,0,content_safety,representation_imbalance,0.33535253227408135,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,True,0.05,0.05,0,physical_safety,measurement_range_violation,0.14182389937106918,3180,451,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.05,0.05,0,physical_safety,safety_critical_edge_case_coverage,0.24333333333333332,3180,94,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.05,0.05,0,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.1,0.1,0,content_safety,label_integrity,0.23449440654703405,3180,489,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.1,0.1,0,content_safety,representation_imbalance,0.4054757371184582,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,True,0.1,0.1,0,physical_safety,measurement_range_violation,0.18867924528301888,3180,600,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.1,0.1,0,physical_safety,safety_critical_edge_case_coverage,0.2166666666666667,3180,110,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.1,0.1,0,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.2,0.2,0,content_safety,label_integrity,0.23405209888611195,3180,483,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.2,0.2,0,content_safety,representation_imbalance,0.5110356997420931,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,True,0.2,0.2,0,physical_safety,measurement_range_violation,0.2770440251572327,3180,881,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.2,0.2,0,physical_safety,safety_critical_edge_case_coverage,0.15833333333333333,3180,143,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.2,0.2,0,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.3,0.3,0,content_safety,label_integrity,0.23369219835576285,3180,486,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.3,0.3,0,content_safety,representation_imbalance,0.6314190633205103,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,True,0.3,0.3,0,physical_safety,measurement_range_violation,0.3732704402515723,3180,1187,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.3,0.3,0,physical_safety,safety_critical_edge_case_coverage,0.11833333333333333,3180,169,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.3,0.3,0,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.4,0.4,0,content_safety,label_integrity,0.23378377261116828,3180,489,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.4,0.4,0,content_safety,representation_imbalance,0.6786889211417513,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,True,0.4,0.4,0,physical_safety,measurement_range_violation,0.45534591194968554,3180,1448,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.4,0.4,0,physical_safety,safety_critical_edge_case_coverage,0.056666666666666664,3180,204,0.1,False,stratum support vs declared minimum,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.4,0.4,0,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,1,content_safety,label_integrity,0.2311757790484996,3180,461,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,1,content_safety,representation_imbalance,0.22032439589539884,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,True,0.0,0.0,1,physical_safety,measurement_range_violation,0.10062893081761007,3180,320,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,1,physical_safety,safety_critical_edge_case_coverage,0.25,3180,90,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.0,0.0,1,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.029874213836477988,1,content_safety,label_integrity,0.23469437008630242,3180,479,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.029874213836477988,1,content_safety,representation_imbalance,0.2839768904490273,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,True,0.03,0.029874213836477988,1,physical_safety,measurement_range_violation,0.12830188679245283,3180,408,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.029874213836477988,1,physical_safety,safety_critical_edge_case_coverage,0.24,3180,96,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.03,0.029874213836477988,1,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.05,0.05,1,content_safety,label_integrity,0.2347826006438079,3180,476,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.05,0.05,1,content_safety,representation_imbalance,0.30681341719077576,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,True,0.05,0.05,1,physical_safety,measurement_range_violation,0.14433962264150943,3180,459,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.05,0.05,1,physical_safety,safety_critical_edge_case_coverage,0.23166666666666663,3180,100,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.05,0.05,1,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.1,0.1,1,content_safety,label_integrity,0.23561097049717675,3180,477,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.1,0.1,1,content_safety,representation_imbalance,0.41258711541730403,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,True,0.1,0.1,1,physical_safety,measurement_range_violation,0.19025157232704404,3180,605,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.1,0.1,1,physical_safety,safety_critical_edge_case_coverage,0.20999999999999996,3180,112,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.1,0.1,1,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.2,0.2,1,content_safety,label_integrity,0.2356664501633052,3180,480,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.2,0.2,1,content_safety,representation_imbalance,0.5198025245195056,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,True,0.2,0.2,1,physical_safety,measurement_range_violation,0.28176100628930817,3180,896,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,range_violation,measurement_range_violation,False,0.2,0.2,1,physical_safety,safety_critical_edge_case_coverage,0.15666666666666668,3180,145,0.1,True,stratum support vs declared minimum,fraction
