dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,0,content_safety,label_integrity,0.22946566642162886,3180,474,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,0,content_safety,representation_imbalance,0.21713008937437933,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,0,physical_safety,measurement_range_violation,0.09811320754716982,3180,312,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.0,0.0,0,physical_safety,safety_critical_edge_case_coverage,0.25666666666666665,3180,86,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,0,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030656934306569343,0,content_safety,label_integrity,0.22936764704728552,3180,467,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030656934306569343,0,content_safety,representation_imbalance,0.21618669314796424,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030656934306569343,0,physical_safety,measurement_range_violation,0.09874213836477988,3180,314,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.03,0.030656934306569343,0,physical_safety,safety_critical_edge_case_coverage,0.2633333333333333,3180,82,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030656934306569343,0,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.049635036496350364,0,content_safety,label_integrity,0.22904775903187763,3180,472,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.049635036496350364,0,content_safety,representation_imbalance,0.2187024164184045,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.049635036496350364,0,physical_safety,measurement_range_violation,0.09842767295597485,3180,313,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.05,0.049635036496350364,0,physical_safety,safety_critical_edge_case_coverage,0.27,3180,192,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.049635036496350364,0,physical_safety,outcome_severity_exposure,0.15157232704402515,3180,482,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09927007299270073,0,content_safety,label_integrity,0.22654456714354643,3180,459,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09927007299270073,0,content_safety,representation_imbalance,0.216137040714995,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09927007299270073,0,physical_safety,measurement_range_violation,0.10031446540880504,3180,319,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.1,0.09927007299270073,0,physical_safety,safety_critical_edge_case_coverage,0.2866666666666667,3180,183,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09927007299270073,0,physical_safety,outcome_severity_exposure,0.14874213836477987,3180,473,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.2,0,content_safety,label_integrity,0.2294309841172322,3180,474,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.2,0,content_safety,representation_imbalance,0.22143330023171134,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.2,0,physical_safety,measurement_range_violation,0.1,3180,318,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.2,0.2,0,physical_safety,safety_critical_edge_case_coverage,0.3166666666666667,3180,164,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.2,0,physical_safety,outcome_severity_exposure,0.15125786163522012,3180,481,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.3007299270072993,0,content_safety,label_integrity,0.22332851435887058,3180,459,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.3007299270072993,0,content_safety,representation_imbalance,0.21582257530618998,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.3007299270072993,0,physical_safety,measurement_range_violation,0.09937106918238994,3180,316,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.3,0.3007299270072993,0,physical_safety,safety_critical_edge_case_coverage,0.3466666666666667,3180,147,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.3007299270072993,0,physical_safety,outcome_severity_exposure,0.14685534591194968,3180,467,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.4,0,content_safety,label_integrity,0.22430898234316418,3180,469,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.4,0,content_safety,representation_imbalance,0.21838795100959946,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.4,0,physical_safety,measurement_range_violation,0.10062893081761007,3180,320,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.4,0.4,0,physical_safety,safety_critical_edge_case_coverage,0.375,3180,131,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.4,0,physical_safety,outcome_severity_exposure,0.14937106918238993,3180,475,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,1,content_safety,label_integrity,0.2311757790484996,3180,461,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,1,content_safety,representation_imbalance,0.22032439589539884,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,1,physical_safety,measurement_range_violation,0.10062893081761007,3180,320,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.0,0.0,1,physical_safety,safety_critical_edge_case_coverage,0.25,3180,90,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,1,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030390738060781478,1,content_safety,label_integrity,0.2293099101371197,3180,455,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030390738060781478,1,content_safety,representation_imbalance,0.2200099304865938,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030390738060781478,1,physical_safety,measurement_range_violation,0.1009433962264151,3180,321,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.03,0.030390738060781478,1,physical_safety,safety_critical_edge_case_coverage,0.2583333333333333,3180,85,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030390738060781478,1,physical_safety,outcome_severity_exposure,0.15,3180,477,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.05065123010130246,1,content_safety,label_integrity,0.22933443231010953,3180,454,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.05065123010130246,1,content_safety,representation_imbalance,0.22158225753061897,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.05065123010130246,1,physical_safety,measurement_range_violation,0.10220125786163523,3180,325,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.05,0.05065123010130246,1,physical_safety,safety_critical_edge_case_coverage,0.26166666666666666,3180,195,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.05065123010130246,1,physical_safety,outcome_severity_exposure,0.15,3180,477,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09985528219971057,1,content_safety,label_integrity,0.2286240507405729,3180,458,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09985528219971057,1,content_safety,representation_imbalance,0.2230552797087057,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09985528219971057,1,physical_safety,measurement_range_violation,0.10125786163522013,3180,322,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.1,0.09985528219971057,1,physical_safety,safety_critical_edge_case_coverage,0.29166666666666663,3180,176,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09985528219971057,1,physical_safety,outcome_severity_exposure,0.14937106918238993,3180,475,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.19971056439942114,1,content_safety,label_integrity,0.22231777799592814,3180,442,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.19971056439942114,1,content_safety,representation_imbalance,0.22179741807348557,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.19971056439942114,1,physical_safety,measurement_range_violation,0.09811320754716982,3180,312,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.2,0.19971056439942114,1,physical_safety,safety_critical_edge_case_coverage,0.31833333333333336,3180,163,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.19971056439942114,1,physical_safety,outcome_severity_exposure,0.1449685534591195,3180,461,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.2995658465991317,1,content_safety,label_integrity,0.22372725187396134,3180,448,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.2995658465991317,1,content_safety,representation_imbalance,0.22336974511751073,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.2995658465991317,1,physical_safety,measurement_range_violation,0.10251572327044026,3180,326,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.3,0.2995658465991317,1,physical_safety,safety_critical_edge_case_coverage,0.3466666666666667,3180,147,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.2995658465991317,1,physical_safety,outcome_severity_exposure,0.1449685534591195,3180,461,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.3994211287988423,1,content_safety,label_integrity,0.22056477358714976,3180,435,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.3994211287988423,1,content_safety,representation_imbalance,0.2239986759351208,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.3994211287988423,1,physical_safety,measurement_range_violation,0.10251572327044026,3180,326,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.4,0.3994211287988423,1,physical_safety,safety_critical_edge_case_coverage,0.4016666666666667,3180,115,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.3994211287988423,1,physical_safety,outcome_severity_exposure,0.13962264150943396,3180,444,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,2,content_safety,label_integrity,0.23254236234469583,3180,464,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,2,content_safety,representation_imbalance,0.21744455478318434,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,2,physical_safety,measurement_range_violation,0.10377358490566038,3180,330,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.0,0.0,2,physical_safety,safety_critical_edge_case_coverage,0.24666666666666667,3180,92,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,2,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030303030303030304,2,content_safety,label_integrity,0.23238700744733223,3180,474,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030303030303030304,2,content_safety,representation_imbalance,0.2177590201919894,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030303030303030304,2,physical_safety,measurement_range_violation,0.10345911949685535,3180,329,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.03,0.030303030303030304,2,physical_safety,safety_critical_edge_case_coverage,0.24833333333333335,3180,91,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030303030303030304,2,physical_safety,outcome_severity_exposure,0.15157232704402515,3180,482,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.050505050505050504,2,content_safety,label_integrity,0.23003951731892705,3180,469,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.050505050505050504,2,content_safety,representation_imbalance,0.2180238331678252,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.050505050505050504,2,physical_safety,measurement_range_violation,0.10440251572327044,3180,332,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.05,0.050505050505050504,2,physical_safety,safety_critical_edge_case_coverage,0.255,3180,87,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.050505050505050504,2,physical_safety,outcome_severity_exposure,0.14937106918238993,3180,475,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09956709956709957,2,content_safety,label_integrity,0.22891594612846455,3180,460,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09956709956709957,2,content_safety,representation_imbalance,0.21734524991724594,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09956709956709957,2,physical_safety,measurement_range_violation,0.10408805031446541,3180,331,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.1,0.09956709956709957,2,physical_safety,safety_critical_edge_case_coverage,0.26166666666666666,3180,83,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09956709956709957,2,physical_safety,outcome_severity_exposure,0.1481132075471698,3180,471,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.20057720057720058,2,content_safety,label_integrity,0.22489176917402606,3180,455,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.20057720057720058,2,content_safety,representation_imbalance,0.2189672293942403,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.20057720057720058,2,physical_safety,measurement_range_violation,0.10440251572327044,3180,332,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.2,0.20057720057720058,2,physical_safety,safety_critical_edge_case_coverage,0.28500000000000003,3180,179,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.20057720057720058,2,physical_safety,outcome_severity_exposure,0.14622641509433962,3180,465,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.30014430014430016,2,content_safety,label_integrity,0.22509113431791408,3180,447,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.30014430014430016,2,content_safety,representation_imbalance,0.2198609731876862,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.30014430014430016,2,physical_safety,measurement_range_violation,0.10503144654088051,3180,334,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.3,0.30014430014430016,2,physical_safety,safety_critical_edge_case_coverage,0.32666666666666666,3180,156,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.30014430014430016,2,physical_safety,outcome_severity_exposure,0.14528301886792452,3180,462,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.3997113997113997,2,content_safety,label_integrity,0.22547081366227423,3180,455,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.3997113997113997,2,content_safety,representation_imbalance,0.21587222773915918,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.3997113997113997,2,physical_safety,measurement_range_violation,0.10408805031446541,3180,331,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.4,0.3997113997113997,2,physical_safety,safety_critical_edge_case_coverage,0.37,3180,131,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.3997113997113997,2,physical_safety,outcome_severity_exposure,0.14528301886792452,3180,462,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,3,content_safety,label_integrity,0.23258911074030605,3180,473,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,3,content_safety,representation_imbalance,0.2228401191658391,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,3,physical_safety,measurement_range_violation,0.10377358490566038,3180,330,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.0,0.0,3,physical_safety,safety_critical_edge_case_coverage,0.24666666666666667,3180,204,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,3,physical_safety,outcome_severity_exposure,0.15188679245283018,3180,483,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030303030303030304,3,content_safety,label_integrity,0.2324450912475895,3180,471,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030303030303030304,3,content_safety,representation_imbalance,0.221896722939424,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030303030303030304,3,physical_safety,measurement_range_violation,0.10377358490566038,3180,330,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.03,0.030303030303030304,3,physical_safety,safety_critical_edge_case_coverage,0.2583333333333333,3180,198,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030303030303030304,3,physical_safety,outcome_severity_exposure,0.1509433962264151,3180,480,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.050505050505050504,3,content_safety,label_integrity,0.23170517760063647,3180,470,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.050505050505050504,3,content_safety,representation_imbalance,0.22252565375703406,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.050505050505050504,3,physical_safety,measurement_range_violation,0.10377358490566038,3180,330,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.05,0.050505050505050504,3,physical_safety,safety_critical_edge_case_coverage,0.26,3180,196,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.050505050505050504,3,physical_safety,outcome_severity_exposure,0.14968553459119496,3180,476,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09956709956709957,3,content_safety,label_integrity,0.2353268321462713,3180,475,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09956709956709957,3,content_safety,representation_imbalance,0.22242634889109564,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09956709956709957,3,physical_safety,measurement_range_violation,0.10283018867924529,3180,327,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.1,0.09956709956709957,3,physical_safety,safety_critical_edge_case_coverage,0.29,3180,180,0.1,True,stratum support vs declared minimum,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.09956709956709957,3,physical_safety,outcome_severity_exposure,0.15345911949685534,3180,488,0.1,True,outcome column base rate,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.20057720057720058,3,content_safety,label_integrity,0.22927417904773542,3180,467,0.05,True,out-of-fold logistic regression (confident-learning style),fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.20057720057720058,3,content_safety,representation_imbalance,0.22504137702747432,3180,3180,0.1,True,empirical sub-group distribution vs reference,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.20057720057720058,3,physical_safety,measurement_range_violation,0.10754716981132076,3180,342,0.01,True,declared physical plausibility ranges,fraction
framingham,tabular,health,high,edge_case_dropout,safety_critical_edge_case_coverage,True,0.2,0.20057720057720058,3,physical_safety,safety_critical_edge_case_coverage,0.30666666666666664,3180,168,0.1,True,stratum support vs declared minimum,fraction
