dataset,modality,context,risk_level,injector,targets_subdimension,is_target,dose,realized_dose,seed,dimension,subdimension,pretraining_score,n_records,n_flagged,threshold,exceeds_threshold,detector,units
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,0,content_safety,label_integrity,0.32004808428512727,750,190,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,0,content_safety,representation_imbalance,0.2833333333333333,750,65,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.0,0.0,0,physical_safety,safety_critical_edge_case_coverage,0.1375,750,18,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030303030303030304,0,content_safety,label_integrity,0.3170333728404744,750,196,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030303030303030304,0,content_safety,representation_imbalance,0.29533333333333334,750,62,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.03,0.030303030303030304,0,physical_safety,safety_critical_edge_case_coverage,0.15625,750,15,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.049586776859504134,0,content_safety,label_integrity,0.2973242445856267,750,184,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.049586776859504134,0,content_safety,representation_imbalance,0.30333333333333334,750,61,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.05,0.049586776859504134,0,physical_safety,safety_critical_edge_case_coverage,0.15,750,16,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.10055096418732783,0,content_safety,label_integrity,0.2958381753061901,750,176,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.10055096418732783,0,content_safety,representation_imbalance,0.31133333333333335,750,56,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.1,0.10055096418732783,0,physical_safety,safety_critical_edge_case_coverage,0.14375,750,17,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.19972451790633608,0,content_safety,label_integrity,0.2771990554093026,750,169,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.19972451790633608,0,content_safety,representation_imbalance,0.35400000000000004,750,48,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.2,0.19972451790633608,0,physical_safety,safety_critical_edge_case_coverage,0.175,750,50,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.3002754820936639,0,content_safety,label_integrity,0.24656097340669772,750,147,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.3002754820936639,0,content_safety,representation_imbalance,0.3596666666666667,750,45,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.3,0.3002754820936639,0,physical_safety,safety_critical_edge_case_coverage,0.23125,750,42,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.39944903581267216,0,content_safety,label_integrity,0.20949972964534982,750,122,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.39944903581267216,0,content_safety,representation_imbalance,0.4156666666666667,750,111,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.4,0.39944903581267216,0,physical_safety,safety_critical_edge_case_coverage,0.2625,750,36,0.25,True,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,1,content_safety,label_integrity,0.30870415175473553,750,186,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,1,content_safety,representation_imbalance,0.278,750,28,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.0,0.0,1,physical_safety,safety_critical_edge_case_coverage,0.14375,750,17,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030344827586206897,1,content_safety,label_integrity,0.3002658214634711,750,178,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030344827586206897,1,content_safety,representation_imbalance,0.278,750,27,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.03,0.030344827586206897,1,physical_safety,safety_critical_edge_case_coverage,0.15625,750,15,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.0496551724137931,1,content_safety,label_integrity,0.30875877429764986,750,194,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.0496551724137931,1,content_safety,representation_imbalance,0.2886666666666666,750,66,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.05,0.0496551724137931,1,physical_safety,safety_critical_edge_case_coverage,0.14375,750,17,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.0993103448275862,1,content_safety,label_integrity,0.2851909509439287,750,176,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.0993103448275862,1,content_safety,representation_imbalance,0.29533333333333334,750,27,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.1,0.0993103448275862,1,physical_safety,safety_critical_edge_case_coverage,0.15,750,16,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.2,1,content_safety,label_integrity,0.25842269323722017,750,168,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.2,1,content_safety,representation_imbalance,0.32466666666666666,750,24,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.2,0.2,1,physical_safety,safety_critical_edge_case_coverage,0.1625,750,14,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.3006896551724138,1,content_safety,label_integrity,0.24001200123552144,750,153,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.3006896551724138,1,content_safety,representation_imbalance,0.35566666666666663,750,96,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.3,0.3006896551724138,1,physical_safety,safety_critical_edge_case_coverage,0.20625,750,45,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.4,1,content_safety,label_integrity,0.21659915395108784,750,121,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.4,1,content_safety,representation_imbalance,0.3636666666666667,750,54,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.4,0.4,1,physical_safety,safety_critical_edge_case_coverage,0.24375,750,40,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,2,content_safety,label_integrity,0.316807656935905,750,199,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,2,content_safety,representation_imbalance,0.274,750,69,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.0,0.0,2,physical_safety,safety_critical_edge_case_coverage,0.08124999999999999,750,27,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030470914127423823,2,content_safety,label_integrity,0.31240518121537314,750,191,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.03,0.030470914127423823,2,content_safety,representation_imbalance,0.2886666666666667,750,66,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.03,0.030470914127423823,2,physical_safety,safety_critical_edge_case_coverage,0.09375,750,25,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.04986149584487535,2,content_safety,label_integrity,0.3023772761769489,750,186,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.05,0.04986149584487535,2,content_safety,representation_imbalance,0.28733333333333333,750,68,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.05,0.04986149584487535,2,physical_safety,safety_critical_edge_case_coverage,0.08124999999999999,750,27,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.0997229916897507,2,content_safety,label_integrity,0.2835921580503302,750,172,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.1,0.0997229916897507,2,content_safety,representation_imbalance,0.302,750,28,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.1,0.0997229916897507,2,physical_safety,safety_critical_edge_case_coverage,0.1,750,24,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.1994459833795014,2,content_safety,label_integrity,0.2622579687739583,750,160,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.2,0.1994459833795014,2,content_safety,representation_imbalance,0.3406666666666667,750,26,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.2,0.1994459833795014,2,physical_safety,safety_critical_edge_case_coverage,0.15625,750,54,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.30055401662049863,2,content_safety,label_integrity,0.24022073149319004,750,151,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.3,0.30055401662049863,2,content_safety,representation_imbalance,0.3726666666666667,750,53,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.3,0.30055401662049863,2,physical_safety,safety_critical_edge_case_coverage,0.175,750,51,0.25,False,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.4002770083102493,2,content_safety,label_integrity,0.19917990529616483,750,115,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.4,0.4002770083102493,2,content_safety,representation_imbalance,0.43533333333333335,750,83,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.4,0.4002770083102493,2,physical_safety,safety_critical_edge_case_coverage,0.25625,750,38,0.25,True,stratum support vs declared minimum,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,3,content_safety,label_integrity,0.31442015228089143,750,191,0.1,True,out-of-fold logistic regression (confident-learning style),fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,False,0.0,0.0,3,content_safety,representation_imbalance,0.25666666666666665,750,25,0.2,True,empirical sub-group distribution vs reference,fraction
german_credit,tabular,loan_finance,medium,edge_case_dropout,safety_critical_edge_case_coverage,True,0.0,0.0,3,physical_safety,safety_critical_edge_case_coverage,0.0875,750,26,0.25,False,stratum support vs declared minimum,fraction
